,x=316,x=317,x=318,x=319,x=320,x=321,x=322,x=323,x=324,x=325
y=316,1.362e-05,2.288e-05,4.844e-05,7.521e-05,3.984e-05,5.064e-06,-3.234e-08,-2.660e-05,-1.388e-05,1.586e-05
y=317,-2.224e-05,-2.838e-05,-1.726e-05,5.201e-06,9.206e-08,-2.179e-05,-4.493e-05,-6.215e-05,-1.675e-05,5.072e-05
y=318,-5.889e-05,-5.960e-05,-4.935e-05,-3.652e-05,-5.835e-06,7.707e-06,-1.203e-05,-4.059e-05,-2.284e-05,3.323e-05
y=319,-1.144e-05,-2.635e-06,-1.221e-05,-3.261e-05,-1.887e-05,5.489e-06,6.497e-06,-6.495e-06,-2.925e-05,-3.854e-05
y=320,1.934e-05,5.133e-05,4.993e-05,6.421e-06,-3.523e-05,-2.986e-05,-4.021e-06,1.718e-05,-1.961e-05,-7.867e-05
y=321,-1.877e-06,4.144e-05,7.221e-05,4.628e-05,-2.330e-05,-4.561e-05,-1.741e-05,2.033e-05,-3.405e-06,-4.116e-05
y=322,1.050e-05,1.939e-05,3.803e-05,3.329e-05,-2.408e-05,-5.567e-05,-4.175e-05,-1.064e-05,-1.411e-05,-2.930e-06
y=323,2.023e-05,6.717e-06,2.074e-06,8.991e-06,-1.797e-05,-4.686e-05,-5.173e-05,-2.852e-05,-2.095e-05,-2.035e-06
y=324,-3.272e-06,2.242e-05,5.707e-06,5.628e-06,-2.316e-06,-2.885e-05,-2.096e-05,1.652e-05,2.262e-05,1.283e-05
y=325,-2.207e-05,2.692e-05,1.900e-05,7.437e-06,-1.163e-05,-4.278e-05,2.631e-06,6.178e-05,6.112e-05,3.378e-05
