local_y,local_x,global_z,global_y,global_x,intensity
0,0,5303,409,137,2.1440646e-05
0,1,5303,409,138,-4.6496432e-05
0,2,5303,409,139,-3.620582e-06
0,3,5303,409,140,4.608004e-05
0,4,5303,409,141,-1.2412004e-05
0,5,5303,409,142,-7.2453025e-05
0,6,5303,409,143,-2.7123182e-05
0,7,5303,409,144,4.6343088e-05
0,8,5303,409,145,4.20471e-06
0,9,5303,409,146,-6.105966e-05
1,0,5303,410,137,1.3424495e-05
1,1,5303,410,138,-2.3871386e-05
1,2,5303,410,139,2.8186321e-05
1,3,5303,410,140,6.0510076e-05
1,4,5303,410,141,-1.9344894e-05
1,5,5303,410,142,-5.0682833e-05
1,6,5303,410,143,2.5913616e-05
1,7,5303,410,144,8.52022e-05
1,8,5303,410,145,2.3865023e-05
1,9,5303,410,146,-4.2918207e-05
2,0,5303,411,137,2.222173e-05
2,1,5303,411,138,-2.3792584e-06
2,2,5303,411,139,2.8696919e-05
2,3,5303,411,140,4.3160842e-05
2,4,5303,411,141,-7.7324e-06
2,5,5303,411,142,9.108908e-07
2,6,5303,411,143,4.967331e-05
2,7,5303,411,144,5.14144e-05
2,8,5303,411,145,-8.5809836e-07
2,9,5303,411,146,-4.77031e-05
3,0,5303,412,137,2.732382e-05
3,1,5303,412,138,-1.4086736e-05
3,2,5303,412,139,-1.3972912e-05
3,3,5303,412,140,1.1134742e-05
3,4,5303,412,141,1.2801589e-05
3,5,5303,412,142,3.297157e-05
3,6,5303,412,143,4.668766e-05
3,7,5303,412,144,1.6257201e-05
3,8,5303,412,145,-2.5815309e-05
3,9,5303,412,146,-6.158385e-05
4,0,5303,413,137,3.646681e-05
4,1,5303,413,138,-8.684498e-06
4,2,5303,413,139,-1.9039548e-05
4,3,5303,413,140,2.520289e-05
4,4,5303,413,141,4.8164915e-05
4,5,5303,413,142,5.9277067e-05
4,6,5303,413,143,7.542421e-05
4,7,5303,413,144,4.3198484e-05
4,8,5303,413,145,-1.16221945e-05
4,9,5303,413,146,-2.7901207e-05
5,0,5303,414,137,3.8986373e-06
5,1,5303,414,138,-2.3879205e-05
5,2,5303,414,139,-2.032582e-05
5,3,5303,414,140,2.3367409e-05
5,4,5303,414,141,4.777828e-05
5,5,5303,414,142,7.539006e-05
5,6,5303,414,143,0.00010598261
5,7,5303,414,144,4.500379e-05
5,8,5303,414,145,-3.8255297e-05
5,9,5303,414,146,-1.8050509e-05
6,0,5303,415,137,-2.8694787e-05
6,1,5303,415,138,-4.479744e-05
6,2,5303,415,139,-2.538128e-05
6,3,5303,415,140,-5.3067088e-06
6,4,5303,415,141,1.322897e-05
6,5,5303,415,142,4.1229978e-05
6,6,5303,415,143,6.2284176e-05
6,7,5303,415,144,3.5226512e-06
6,8,5303,415,145,-5.4285087e-05
6,9,5303,415,146,-1.8903378e-05
7,0,5303,416,137,-1.6225948e-05
7,1,5303,416,138,-8.7490225e-06
7,2,5303,416,139,-1.8787163e-05
7,3,5303,416,140,-2.4653455e-05
7,4,5303,416,141,9.226247e-06
7,5,5303,416,142,2.9288e-05
7,6,5303,416,143,2.2726552e-05
7,7,5303,416,144,-1.13100305e-05
7,8,5303,416,145,-2.6667803e-05
7,9,5303,416,146,-2.5075784e-05
8,0,5303,417,137,-3.0301984e-05
8,1,5303,417,138,1.0991483e-05
8,2,5303,417,139,-7.952281e-06
8,3,5303,417,140,-1.593624e-05
8,4,5303,417,141,3.071852e-05
8,5,5303,417,142,4.926919e-05
8,6,5303,417,143,2.4493389e-05
8,7,5303,417,144,-1.176006e-05
8,8,5303,417,145,-7.2268517e-06
8,9,5303,417,146,-2.3931009e-06
9,0,5303,418,137,-4.255361e-05
9,1,5303,418,138,1.3570613e-05
9,2,5303,418,139,2.0905538e-05
9,3,5303,418,140,4.187448e-06
9,4,5303,418,141,3.6193607e-05
9,5,5303,418,142,4.5628796e-05
9,6,5303,418,143,1.9224524e-05
9,7,5303,418,144,-1.2935248e-05
9,8,5303,418,145,1.5718927e-06
9,9,5303,418,146,2.550975e-05
